feature,protected_mean,confused_mean,diff_protected_minus_confused,ratio_protected_over_confused,std_effect,direction
lep_knn_size,15.75,15.272727272727273,0.4772727272727266,1.0312499999979539,1.0519019270446544,protected_higher_veto_candidate
lep_knn_hard_hadron_count,2.71875,4.181818181818182,-1.4630681818181817,0.6501358696488806,-1.0208818158210575,confused_higher_trigger_candidate
lep_knn_pairwise_deltaR_max,0.19307259295601398,0.29174279218370264,-0.09867019922768866,0.661790448528548,-1.0117943505311635,confused_higher_trigger_candidate
lep_knn_pairwise_deltaR_mean,0.0915394803888255,0.13624840293261348,-0.04470892254378797,0.6718572749967745,-0.9919095485308475,confused_higher_trigger_candidate
lepton_hardest_hadron_deltaR,0.25033572199754417,0.375120916149833,-0.12478519415228884,0.6673467448832069,-0.9877220900382895,confused_higher_trigger_candidate
lep_knn_lepton_count,1.71875,1.1818181818181819,0.5369318181818181,1.4543269226924924,0.9563927796620466,protected_higher_veto_candidate
lepton_nearest_hadron_deltaR,0.07992371848376933,0.13462573763999072,-0.05470201915622139,0.5936733962700644,-0.9563189508856301,confused_higher_trigger_candidate
p0_knn_deltaR_to_center_mean,0.08549032106582027,0.16361898349134318,-0.07812866242552291,0.5224963492567296,-0.9554929149032118,confused_higher_trigger_candidate
lep_knn_deltaR_to_center_mean,0.08746289854950456,0.15955279882950202,-0.07208990027999745,0.5481752726556184,-0.9524694588175828,confused_higher_trigger_candidate
lep_knn_sum_pt,534.2227785177529,341.632192958485,192.59058555926788,1.5637366428816257,0.9335173315838996,protected_higher_veto_candidate
p0_knn_lepton_count,1.6875,1.0909090909090908,0.5965909090909092,1.546874999498698,0.9231659229442355,protected_higher_veto_candidate
lep_knn_mean_pt,33.74544232582363,22.30983890547897,11.435603420344663,1.512581174085648,0.8873110801768245,protected_higher_veto_candidate
lep_knn_lepton_frac,0.10872395833333333,0.07727272727272727,0.03145123106060606,1.4070159261052841,0.8758338673598237,protected_higher_veto_candidate
p0_knn_pairwise_deltaR_max,0.18953532667364925,0.3457369546998631,-0.15620162802621385,0.5482067350595471,-0.8639517344200981,confused_higher_trigger_candidate
second_lepton_present,0.15625,0.5454545454545454,-0.3892045454545454,0.28645833464149306,-0.8608529411294534,confused_higher_trigger_candidate
