particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
second_lepton,L1_ch64:96,label_Tbl,227.10453580581816,0,127.2651533704111,-227.10453580581816,-127.2651533704111,1.770586397304444,0,28902.493580443468,PATH: second_lepton -> L1_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-227.1045; B-C=-127.2652; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch0:32,label_Tbl,188.55994856872084,118.59603348509954,157.46016134038007,-69.9639150836213,-38.86412785528053,1.755059469446129,0,2719.086541065848,PATH: hard_hadron -> L1_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-69.9639; B-C=-38.8641; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch96:128,label_Tbl,266.7259637011162,195.85718100581215,154.20739870087647,-70.86878269530405,41.649782304935684,1.6616446524535413,0,2951.669371475207,PATH: photon_neighbor -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-70.8688; B-C=41.6498; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L0_ch0:32,label_Tbl,868.3570928655099,754.1436955206409,685.0671577004236,-114.21339734486901,69.07653782021725,1.629837901494017,0,7889.466061268345,PATH: other_lepton -> L0_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-114.2134; B-C=69.0765; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L1_ch64:96,label_Tbl,271.045189852739,0,178.5638324669344,-271.045189852739,-178.5638324669344,1.5094642731166386,0,48398.86787183291,PATH: other_lepton -> L1_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-271.0452; B-C=-178.5638; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L1_ch96:128,label_Tbl,222.92558054465067,0,147.94603629927295,-222.92558054465067,-147.94603629927295,1.4966868946866956,0,32980.95603129538,PATH: hardest_hadron -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-222.9256; B-C=-147.9460; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L0_ch0:32,label_Tbl,745.1113005918851,0,503.38403112231754,-745.1113005918851,-503.38403112231754,1.477269807558973,0,375077.13012673595,PATH: second_lepton -> L0_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-745.1113; B-C=-503.3840; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L2_ch192:224,label_Tbl,-1.8548428725452455,0.48263485686221796,-0.18705678980105578,2.3374777294074636,0.6696916466632737,1.3999457529051542,0,1.5653893096456144,PATH: particle0_best_lepton -> L2_ch192:224 -> label_Tbl; DIAGNOSIS: anomaly; B-A=2.3375; B-C=0.6697; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch192:224,label_Tbl,-1.4722720541726346,0.5626423767180313,0.013976576493254593,2.034914430890666,0.5486658002247767,1.3139790590037657,0,1.1164879546135733,PATH: particle0 -> L2_ch192:224 -> label_Tbl; DIAGNOSIS: anomaly; B-A=2.0349; B-C=0.5487; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L2_ch128:160,label_Tbl,0,2.00887136809763,2.7576184682271503,2.00887136809763,-0.7487471001295205,1.1487489345651198,0,1.5041366113963228,PATH: other_lepton -> L2_ch128:160 -> label_Tbl; DIAGNOSIS: anomaly; B-A=2.0089; B-C=-0.7487; NEXT_PROBE: inspect particle geometry/source blocks.
