A_rel_mean,A_rel_max,T_mean,T_max,Y_norm_mean,Y_norm_max,Y_rel_mean,Y_rel_max,constant_energy_frac_mean,constant_energy_frac_max,content_energy_frac_mean,content_energy_frac_max,head_mean,head_max,k_affine_energy_frac_mean,k_affine_energy_frac_max,layer_mean,layer_max,no_const_A_rel_mean,no_const_A_rel_max,no_const_Y_rel_mean,no_const_Y_rel_max,no_content_A_rel_mean,no_content_A_rel_max,no_content_Y_rel_mean,no_content_Y_rel_max,no_k_A_rel_mean,no_k_A_rel_max,no_k_Y_rel_mean,no_k_Y_rel_max,no_q_A_rel_mean,no_q_A_rel_max,no_q_Y_rel_mean,no_q_Y_rel_max,no_vo_bias_Y_rel_mean,no_vo_bias_Y_rel_max,only_const_A_rel_mean,only_const_A_rel_max,only_const_Y_rel_mean,only_const_Y_rel_max,only_content_A_rel_mean,only_content_A_rel_max,only_content_Y_rel_mean,only_content_Y_rel_max,only_k_A_rel_mean,only_k_A_rel_max,only_k_Y_rel_mean,only_k_Y_rel_max,only_q_A_rel_mean,only_q_A_rel_max,only_q_Y_rel_mean,only_q_Y_rel_max,prompt_id_mean,prompt_id_max,q_affine_energy_frac_mean,q_affine_energy_frac_max,route_bos_mass_mean_mean,route_bos_mass_mean_max,route_entropy_max_mean,route_entropy_max_max,route_entropy_mean_mean,route_entropy_mean_max,route_local4_mean_mean,route_local4_mean_max,route_prev_mass_mean_mean,route_prev_mass_mean_max,route_self_mass_mean_mean,route_self_mass_mean_max,route_top1_bos_frac_mean,route_top1_bos_frac_max,route_top1_self_frac_mean,route_top1_self_frac_max,score_rel_mean,score_rel_max,vo_bias_only_Y_rel_mean,vo_bias_only_Y_rel_max,vo_bias_runtime_frac_mean,vo_bias_runtime_frac_max,vo_linear_runtime_frac_mean,vo_linear_runtime_frac_max,layer,head,nseq
7.32393852824013e-06,9.923775905917864e-06,13.020833333333334,20.0,0.23871712355564037,0.4303779900074005,4.606744814357929e-06,7.659890798095148e-06,0.9467151489443432,0.9861930124208468,8.887433925064586e-06,2.6737759168472635e-05,0.0,0.0,1.4647804043982555e-05,4.3068383607599856e-05,0.0,0.0,0.21390732595076165,0.30268099904060364,0.1277946630337586,0.23128053545951843,0.21709947427734733,0.518378734588623,0.21148551969478527,0.5011416077613831,0.27937163102130097,0.4516858458518982,0.21469777962192893,0.3831370770931244,0.2486988107363383,0.37259212136268616,0.196892900702854,0.318631649017334,0.8184882029891014,1.0307515859603882,0.3632746705164512,0.5231388807296753,0.2850821800529957,0.4213607609272003,0.4652314782142639,0.6206851005554199,0.32803124251465005,0.5225415229797363,0.40921279539664585,0.6751174926757812,0.2952331753137211,0.49755382537841797,0.34323909878730774,0.46363288164138794,0.2868329569076498,0.4484909474849701,23.5,47.0,0.05326131581768784,0.09286148055557561,0.2361146149535974,0.4168386161327362,0.8524651639163494,0.9201993942260742,0.5897324793040752,0.6276015043258667,0.8796974259118239,0.9568079113960266,0.23067340658356747,0.2853892743587494,0.2569168694317341,0.34836164116859436,0.2513653937106331,0.699999988079071,0.22647610229129592,0.4444444477558136,8.146085021346987e-08,9.921342325469595e-08,0.989516324053208,1.2104628086090088,0.2610706865652701,0.5204592354993366,0.7389293134347299,0.8602455463823765,0,0,48
9.777635168184418e-08,4.2638325226107554e-07,13.020833333333334,20.0,0.5767911269019047,0.9754830598831177,8.327946147505354e-08,3.113658237907657e-07,0.8570395447638527,0.9823886490678077,2.141764588326119e-06,6.239224856630328e-06,1.0,1.0,1.7753237006512792e-06,4.359430344607188e-06,0.0,0.0,0.6385568516949812,0.8435884714126587,0.37455978120366734,0.7220323085784912,0.003749612279837796,0.013923948630690575,0.003570607677981267,0.011045160703361034,0.001179356705203342,0.0040537575259804726,0.0009031939832766511,0.003628124250099063,0.00037132687990985386,0.0013595202472060919,0.00026478607909060276,0.0012815737864002585,0.5033875877658526,0.9950330257415771,0.0010386821541032987,0.003927144221961498,0.0009009964470957735,0.0035356052685528994,0.7786780260503292,0.8763769268989563,0.4490093116958936,0.6290618181228638,0.9344613390664259,1.0364917516708374,0.842406269783775,1.0401862859725952,0.7127554193139076,0.8877355456352234,0.5646180982391039,0.7480328679084778,23.5,47.0,0.14295653814785825,0.2275118934351062,0.08323482183429103,0.14289388060569763,0.006275898194871843,0.022503092885017395,0.0014685468498403982,0.0030608084052801132,0.9999986713131269,0.9999998807907104,0.00048364716136954183,0.0011984303127974272,0.9995140594740709,0.9998391270637512,0.0831944082553188,0.1428571492433548,1.0,1.0,7.94530886268537e-08,1.1109830211353255e-07,1.0547908556958039,1.6247369050979614,0.18170956654228299,0.34225747513254234,0.818290433457717,0.8844124056914462,0,1,48
1.708897895014161e-05,2.429240157653112e-05,13.020833333333334,20.0,0.22504481735328832,0.39716580510139465,8.57944871768268e-06,1.3365082850214094e-05,0.963544069919508,0.9959457085614619,5.42888317181475e-06,1.805738197160414e-05,2.0,2.0,4.011873239156817e-06,8.16219850776069e-06,0.0,0.0,0.08474861287201445,0.10162632167339325,0.039680140772058316,0.06947030872106552,0.4029780849814415,0.7320132851600647,0.4020214426952104,0.6826582551002502,0.39017566790183383,0.6180387139320374,0.30123219390710193,0.48295846581459045,0.14941760199144483,0.2655664384365082,0.08274148458925386,0.16462405025959015,0.8000086533526579,1.1308815479278564,0.524734357992808,0.6259547472000122,0.4587240337083737,0.6046102046966553,0.45767790513734025,0.6430562734603882,0.34740669714907807,0.5491701364517212,0.4324672759200136,0.7356693744659424,0.4070625661406666,0.6753112077713013,0.5554225736608108,0.6745279431343079,0.5093390780190626,0.6716894507408142,23.5,47.0,0.03644648932408103,0.06031603176574095,0.11619828610370557,0.2065616399049759,0.8810718829433123,0.9779763221740723,0.54500754053394,0.6357495784759521,0.7899129937092463,0.951531708240509,0.1551012188817064,0.2349626123905182,0.39573681851228076,0.5277553796768188,0.0831944082553188,0.1428571492433548,0.5548781069616476,1.0,7.599972799236336e-08,8.976218168754713e-08,0.8994266577064991,1.1378092765808105,0.3135364164271977,0.5074782376254632,0.6864635835728023,0.775189460788834,0,2,48
1.448650065564531e-05,2.3028806026559323e-05,13.020833333333334,20.0,0.2221142261599501,0.35208365321159363,7.930777636981171e-06,1.1529768016771413e-05,0.9555895785426435,0.9983966531294811,1.2819173200883029e-06,4.13603635505196e-06,3.0,3.0,6.380975173822749e-06,1.578729758798933e-05,0.0,0.0,0.11751835032676657,0.1364673674106598,0.057152586484638356,0.07483876496553421,0.14823008553745845,0.2766883075237274,0.15559988179787373,0.3294021189212799,0.331389003743728,0.5232037901878357,0.23890602930138508,0.4333515465259552,0.21133959169189134,0.31954702734947205,0.13112003189356378,0.17825947701931,0.7045705616474152,1.0174787044525146,0.5198844106247028,0.629025936126709,0.443671115518858,0.6543133854866028,0.5011382903903723,0.6095738410949707,0.35679223559175927,0.5790658593177795,0.3827933979531129,0.5569555759429932,0.3042817072321971,0.44837167859077454,0.4410315031806628,0.5858367085456848,0.37431328867872554,0.5863950848579407,23.5,47.0,0.044402758564862636,0.08166176820303386,0.18380075631042322,0.2739054262638092,0.8964953236281872,0.9858841896057129,0.5440425307800373,0.6695419549942017,0.8237555362284184,0.9863488674163818,0.19280894349018732,0.2546655237674713,0.40099810995161533,0.5539289712905884,0.13453954931659004,0.3333333432674408,0.5348947700113058,0.699999988079071,9.307692971916026e-08,1.0603151423538293e-07,0.8252791700263818,0.9972374439239502,0.29668130571960977,0.5427279209384466,0.7033186942803903,0.7846824857144441,0,3,48
3.901432260515018e-06,6.340651907521533e-06,13.020833333333334,20.0,0.140991463791579,0.17859169840812683,1.0652885957066853e-06,2.0826325908274157e-06,0.8578936873937808,0.9630322768927889,7.169579659050605e-06,1.2412294057813214e-05,4.0,4.0,9.932776219624365e-05,0.00017497144609357641,0.0,0.0,0.31182851766546565,0.4143525958061218,0.07754896472518642,0.14607329666614532,0.11396151261093716,0.1948801577091217,0.04079919469465191,0.08262687176465988,0.24946119325856367,0.4387705326080322,0.06761551497038454,0.18150152266025543,0.3799557847281297,0.4647310674190521,0.10793771711178124,0.18629015982151031,1.011405773460865,1.049304723739624,0.5088769892851511,0.6351869702339172,0.14622193784452975,0.23023658990859985,0.6326575751105944,0.7492319941520691,0.17372012371197343,0.2812178134918213,0.560651388640205,0.6867679953575134,0.1457781217371424,0.2428317368030548,0.3700510859489441,0.534369170665741,0.10086211061570793,0.18697746098041534,23.5,47.0,0.14199981526436392,0.2270051904664354,0.25057583550612134,0.3960318863391876,0.7626136243343353,0.8730444312095642,0.482171135644118,0.553697407245636,0.9229839344819387,0.9840400815010071,0.2788910449792941,0.3637778162956238,0.12553978074962893,0.19160442054271698,0.2315628364061316,0.4444444477558136,0.08788190828636289,0.1428571492433548,7.709902745863435e-08,1.0075664391706596e-07,0.39211169940729934,0.5167632102966309,0.7337784853717407,0.9079387577825753,0.2662215146282592,0.42102593693039647,0,4,48
5.848401504711849e-06,9.098685040953569e-06,13.020833333333334,20.0,0.11785487458109856,0.15287134051322937,1.5634131429465015e-06,3.1780568860995118e-06,0.9742195897004496,0.9992855953457133,2.4460524471681108e-06,6.96217139746476e-06,5.0,5.0,3.456228865089498e-05,5.3829552862844226e-05,0.0,0.0,1.0115093626081944,1.08271324634552,0.23232723493129015,0.31690216064453125,0.11257440216528873,0.2146642953157425,0.04427487366289521,0.10789941251277924,0.24442512293656668,0.3996126353740692,0.06420952555102606,0.12446942925453186,0.5580215665201346,0.6634498238563538,0.2000916899802784,0.2932812571525574,0.9980518147349358,1.0295342206954956,0.7127628065645695,0.878039538860321,0.2434966714742283,0.3652883768081665,0.6900839706261953,0.8233544826507568,0.16719041485339403,0.2674122452735901,0.8265996053814888,0.9271471500396729,0.18937841958055893,0.25713106989860535,0.9361326023936272,1.022132396697998,0.22644028750558695,0.3300805687904358,23.5,47.0,0.025743401958452188,0.0668398279076475,0.20623065220812956,0.2853337228298187,0.5705043387909731,0.7294073104858398,0.3671950896581014,0.4464848041534424,0.9416104877988497,0.9991810917854309,0.4771427797774474,0.5674969553947449,0.30406614144643146,0.4347258508205414,0.2146560293622315,0.3636363744735718,0.2736062322122355,0.75,7.140204161260044e-08,8.576872545518199e-08,0.35680148626367253,0.41264358162879944,0.7646932335571544,0.9199671776107344,0.23530676644284568,0.33166371312145465,0,5,48
1.671070176219776e-05,2.5055795049411245e-05,13.020833333333334,20.0,0.1892576152458787,0.245743066072464,7.553407963693341e-06,1.5548055671388283e-05,0.9878658077093728,0.9962066787133217,2.453888623189744e-06,5.603120467363677e-06,6.0,6.0,9.398360936576783e-06,2.9001571346403578e-05,0.0,0.0,0.1628270116634667,0.24442021548748016,0.07406969640093546,0.11916572600603104,0.10560627436886232,0.24172809720039368,0.10416913614608347,0.24734804034233093,0.38904065390427905,0.5605595707893372,0.48480452015064657,1.0441533327102661,0.2809660496811072,0.4080209732055664,0.1329452236338208,0.2412736713886261,0.858090360959371,0.9699822068214417,0.5973438856502374,0.7638123631477356,0.7302677875074247,1.5204466581344604,0.5428144043932358,0.6727882623672485,0.48552453114340705,1.0365314483642578,0.4037546558926503,0.5736150741577148,0.19461116148158908,0.30849888920783997,0.590476190050443,0.7640949487686157,0.760025730667015,1.5204390287399292,23.5,47.0,0.012122340041067478,0.01668259659543348,0.25869513116776943,0.4308980405330658,0.7772900958855947,0.9687648415565491,0.4527509367714326,0.6290004253387451,0.8723423245052496,0.9774301052093506,0.30284032101432484,0.41114917397499084,0.23903052074213824,0.32773858308792114,0.2173336463359495,0.4285714626312256,0.24499379113937417,0.4166666865348816,6.321675116716108e-08,7.178218908165945e-08,0.9340844340622425,1.0863832235336304,0.26828381228370557,0.5269948216781363,0.7317161877162944,0.8534953888758269,0,6,48
3.509781301147541e-06,5.923932803852949e-06,13.020833333333334,20.0,0.07416781542512278,0.14773321151733398,3.21462832649407e-06,6.24505491941818e-06,0.9522459543712251,0.9958610530972241,4.477536429407111e-05,9.353775964328081e-05,7.0,7.0,0.00022263241841108104,0.0007752337828748426,0.0,0.0,0.6033892966806889,0.8598934412002563,0.4706409890204668,0.7993196845054626,0.18825527792796493,0.3661002218723297,0.213988354934069,0.4966447353363037,0.4993519020887713,0.8148459196090698,0.620131948341926,1.2831690311431885,0.517729843656222,0.7960527539253235,0.42952969515075284,0.6234441995620728,0.9972814855476221,1.4464651346206665,0.7517951683451732,0.9420444965362549,0.8512372002005577,1.6144596338272095,0.6662082262337208,0.8835235834121704,0.6142537171641985,1.0428941249847412,0.7028751907249292,1.080653190612793,0.5976085954656204,0.8788539171218872,0.8110094058016936,0.9654603004455566,0.9318721989790598,1.5590872764587402,23.5,47.0,0.04748663784606987,0.08298182797330798,0.17687976996724805,0.30116206407546997,0.5482766547550758,0.7088163495063782,0.24445991745839515,0.4985354542732239,0.9038879585762819,0.9988861083984375,0.4009843338280916,0.7481973171234131,0.15729934613530835,0.3220576047897339,0.1757029004705449,0.3333333432674408,0.13306055155893168,0.2857142984867096,6.938139581376863e-08,7.911688726380817e-08,1.4999140873551369,1.8637397289276123,0.19814531681253736,0.2826060096061951,0.8018546831874627,0.8888597625261897,0,7,48
1.5922747669113353e-05,2.7347015929990448e-05,13.020833333333334,20.0,0.16629381633053222,0.274177610874176,1.1240978930497173e-05,2.0055802451679483e-05,0.9987896016045296,0.9995838279873869,1.123020755100855e-06,2.4571167218204972e-06,8.0,8.0,2.6638808961409834e-05,6.411331634714007e-05,0.0,0.0,0.035204823866176106,0.04652038961648941,0.022051233410214383,0.040270403027534485,0.134991807048209,0.2188485562801361,0.12557120834632465,0.23446182906627655,0.5594596366087595,0.6789980530738831,0.7970295827835798,1.1647346019744873,0.09773791573631267,0.15705464780330658,0.06203785903441409,0.11217052489519119,0.8772909082472324,1.2679755687713623,0.6246802105257908,0.7544733881950378,0.8769460245966911,1.5709898471832275,0.5610519765565792,0.684360921382904,0.7831401831159989,1.1487641334533691,0.1721038312340776,0.266971230506897,0.14905172446742654,0.27141329646110535,0.6242708563804626,0.7443675398826599,0.8807751691589752,1.5636595487594604,23.5,47.0,0.0011826365657539094,0.0018673314144963399,0.17527835381527743,0.4795261025428772,0.7749190169076124,0.9196140170097351,0.4743107097844283,0.626040518283844,0.7555603211124738,0.9696323275566101,0.16957971205314,0.23306049406528473,0.3144380177060763,0.5478647351264954,0.13922946155071259,0.5714285969734192,0.30925441564371187,0.699999988079071,9.142883502140838e-08,1.163135507908919e-07,1.4752086649338405,1.9749181270599365,0.1610870415716951,0.23565807173231768,0.8389129584283049,0.9111679874171336,0,8,48
2.047390263252661e-06,2.5696606371639064e-06,13.020833333333334,20.0,0.16818443375329176,0.2499142736196518,1.5474067301587031e-06,2.13278985938814e-06,0.825579430143868,0.9891041431663061,0.00023579623136640274,0.0005428084169926796,9.0,9.0,0.00032265364722453596,0.0013380661456694524,0.0,0.0,0.33550536756714183,0.4066874086856842,0.25104174048950273,0.3356291949748993,0.2297767379010717,0.3647151291370392,0.21719466305027404,0.40269342064857483,0.28243485869218904,0.4598613977432251,0.2473706721017758,0.5136654376983643,0.23035623226314783,0.31737977266311646,0.17040117892126241,0.27148598432540894,0.8469590730965137,1.3469514846801758,0.3768735794971387,0.5090600252151489,0.32561208431919414,0.5265425443649292,0.5584573124845823,0.6805731654167175,0.43444838871558505,0.6047726273536682,0.5179627711574236,0.6268237233161926,0.4143386712918679,0.6442214846611023,0.43728309124708176,0.551535964012146,0.3637954133252303,0.5630287528038025,23.5,47.0,0.173862119977541,0.300137140579902,0.24664004084964594,0.44475629925727844,0.856848398844401,0.9532495737075806,0.5551401401559511,0.6081532835960388,0.8834300736586252,0.9505504965782166,0.2885936737681429,0.3729773163795471,0.19545663769046465,0.26701390743255615,0.22925901118045053,0.4285714626312256,0.10958772789066036,0.2222222238779068,7.013276441073894e-08,8.872052603692282e-08,1.377525510887305,1.5775481462478638,0.19890361930231223,0.26296475432570765,0.8010963806976877,0.8710426170056994,0,9,48
