particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
hard_hadron,L1_ch0:32,label_Hqql,312.24916536604957,164.95628953638624,440.6538722212452,-147.29287582966333,-275.69758268485896,0,147.29287582966333,40608.28981293927,PATH: hard_hadron -> L1_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-147.2929; B-C=-275.6976; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L1_ch96:128,label_Hqql,281.0814231670811,40.20392888190054,177.37902402393155,-240.87749428518055,-137.175095142031,0,240.87749428518055,33042.393196143676,PATH: particle0 -> L1_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-240.8775; B-C=-137.1751; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L1_ch96:128,label_Tbl,222.92558054465067,0,147.94603629927295,-222.92558054465067,-147.94603629927295,1.4966868946866956,0,32980.95603129538,PATH: hardest_hadron -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-222.9256; B-C=-147.9460; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L1_ch64:96,label_Tbl,227.10453580581816,0,127.2651533704111,-227.10453580581816,-127.2651533704111,1.770586397304444,0,28902.493580443468,PATH: second_lepton -> L1_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-227.1045; B-C=-127.2652; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch64:96,label_Tbl,240.88240848421592,374.82886957127204,161.31432033537476,133.94646108705612,213.51454923589728,0.6244166727346682,0,28599.51826074644,PATH: hadron_neighbor -> L1_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=133.9465; B-C=213.5145; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L0_ch32:64,label_Hqql,136.0825825672282,0,202.50923044523643,-136.0825825672282,-202.50923044523643,0,136.0825825672282,27557.97907268973,PATH: particle0_best_lepton -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-136.0826; B-C=-202.5092; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L1_ch0:32,label_Tbl,148.16991902585204,0,139.77037047235626,-148.16991902585204,-139.77037047235626,1.0525646734370773,0,20709.76447510237,PATH: particle0_best_lepton -> L1_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-148.1699; B-C=-139.7704; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch0:32,label_Hqql,370.5688049684763,260.9587057946128,428.71555467924213,-109.61009917386349,-167.75684888462933,0,109.61009917386349,18387.84484333905,PATH: hadron_neighbor -> L1_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-109.6101; B-C=-167.7568; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L0_ch0:32,label_Tbl,678.7827446467433,745.9108372991271,474.5759670323886,67.12809265238388,271.33487026673856,0.24649099319024123,0,18214.192311088187,PATH: hard_hadron -> L0_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=67.1281; B-C=271.3349; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L0_ch0:32,label_Hqql,719.9194629066658,753.007099521963,220.62611707683055,33.08763661529724,532.3809824451325,0,0,17615.228488039487,PATH: hadron_neighbor -> L0_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=33.0876; B-C=532.3810; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch64:96,label_Tbl,161.81122506852083,261.43774808333586,129.7673571614369,99.62652301481504,131.67039092189896,0.7509326106792258,0,13117.863231550258,PATH: photon_neighbor -> L1_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=99.6265; B-C=131.6704; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L1_ch32:64,label_Hqql,0,98.61825404853153,-22.089712877081233,98.61825404853153,120.70796692561277,0,0,11904.008947951821,PATH: particle0 -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=98.6183; B-C=120.7080; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L1_ch64:96,label_Hqql,188.300298587008,0,-53.160710341637355,-188.300298587008,53.160710341637355,0,188.300298587008,10010.177630427757,PATH: second_lepton -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-188.3003; B-C=53.1607; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L1_ch96:128,label_Tbl,207.03291107675614,64.46342369368904,130.27579901747959,-142.5694873830671,-65.81237532379055,2.133878442311584,0,9382.836613374833,PATH: particle0 -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-142.5695; B-C=-65.8124; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L1_ch32:64,label_Tbl,52.95513424478759,0,177.15246505536925,-52.95513424478759,-177.15246505536925,0.29724614940539434,0,9381.13256880212,PATH: second_lepton -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-52.9551; B-C=-177.1525; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L1_ch32:64,label_Tbl,55.82584427001893,0,162.42076413046152,-55.82584427001893,-162.42076413046152,0.3416080237236697,0,9067.276284564621,PATH: other_lepton -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-55.8258; B-C=-162.4208; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch96:128,label_Hqql,357.2362452604532,262.0395780013572,178.1822034743134,-95.19666725909599,83.85737452704379,0,95.19666725909599,7982.942580072379,PATH: photon_neighbor -> L1_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-95.1967; B-C=83.8574; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L0_ch0:32,label_Tbl,868.3570928655099,754.1436955206409,685.0671577004236,-114.21339734486901,69.07653782021725,1.629837901494017,0,7889.466061268345,PATH: other_lepton -> L0_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-114.2134; B-C=69.0765; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L1_ch32:64,label_Hqql,0,93.02675132171862,8.79369369155614,93.02675132171862,84.23305763016248,0,0,7835.927705229118,PATH: particle0_best_lepton -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=93.0268; B-C=84.2331; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch0:32,label_Hqql,292.0515508506083,262.14968782721684,506.64805200044503,-29.901863023391456,-244.4983641732282,0,29.901863023391456,7310.956594951151,PATH: photon_neighbor -> L1_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-29.9019; B-C=-244.4984; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L0_ch32:64,label_Tbl,50.3601046525254,146.2958933550275,97.34076012861355,95.9357887025021,48.955133226413935,1.9204390521327994,0,4696.549317112087,PATH: hadron_neighbor -> L0_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=95.9358; B-C=48.9551; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch64:96,label_Hqql,116.14292959414169,88.23946783154685,-73.76402955937502,-27.903461762594844,162.00349739092186,0,27.903461762594844,4520.458394854222,PATH: hard_hadron -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-27.9035; B-C=162.0035; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L0_ch32:64,label_Hqql,170.8266053838199,119.9892486909917,33.77684635343083,-50.837356692828195,86.21240233756087,0,50.837356692828195,4382.810648980198,PATH: photon_neighbor -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-50.8374; B-C=86.2124; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L0_ch32:64,label_Hqql,153.60630634700647,86.83390829052291,23.5662010367321,-66.77239805648355,63.26770725379082,0,66.77239805648355,4224.536532871192,PATH: hardest_hadron -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-66.7724; B-C=63.2677; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L0_ch32:64,label_Hqql,179.53701764438358,138.75047028738967,56.303106954132595,-40.78654735699391,82.44736333325707,0,40.78654735699391,3362.7432890511727,PATH: hard_hadron -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-40.7865; B-C=82.4474; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L1_ch32:64,label_Hqql,63.09972855770957,0,50.61168504429497,-63.09972855770957,-50.61168504429497,0,63.09972855770957,3193.5835881433018,PATH: other_lepton -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-63.0997; B-C=-50.6117; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch96:128,label_Tbl,223.05265986473287,264.14146211162915,188.40290812723342,41.08880224689628,75.73855398439574,0.5354388389342261,0,3112.0064671307146,PATH: hadron_neighbor -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=41.0888; B-C=75.7386; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L1_ch32:64,label_Hqql,59.85497649477884,0,50.12127334957404,-59.85497649477884,-50.12127334957404,0,59.85497649477884,3000.007638227139,PATH: second_lepton -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-59.8550; B-C=-50.1213; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch96:128,label_Hqql,315.8395686487434,274.3395775006112,203.16186973723808,-41.49999114813221,71.17770776337312,0,41.49999114813221,2953.874242124326,PATH: hadron_neighbor -> L1_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-41.5000; B-C=71.1777; NEXT_PROBE: inspect particle geometry/source blocks.
