matrix_id,module_name,module_type,matrix_kind,shape,exact_target_kind,exact_reconstruction_error,accepted_exact,primitive_fit_kind,primitive_fit_rel_err,primitive_fit_quality,uses_target_mined_atoms,uses_shared_mined_atoms,tensor_path,honesty_note
mod.embed.embed.1.Linear.W,mod.embed.embed.1,Linear,Linear.W,128x13,linear_W,6.659028173316983e-08,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.10291833430528641,STRONG_INTERPRETATION,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_1.pt,"SVD is compression/pattern fit, not human primitive interpretation."
mod.embed.embed.1.Linear.W_aug,mod.embed.embed.1,Linear,Linear.W_aug,128x14,linear_W_aug,6.659028173316983e-08,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.10291833430528641,STRONG_INTERPRETATION,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_1.pt,"SVD is compression/pattern fit, not human primitive interpretation."
mod.embed.embed.4.Linear.W,mod.embed.embed.4,Linear,Linear.W,512x128,linear_W,7.357026987619975e-08,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.5217824578285217,PRIMITIVE_EXPLANATION_WEAK,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_4.pt,"SVD is compression/pattern fit, not human primitive interpretation."
mod.embed.embed.4.Linear.W_aug,mod.embed.embed.4,Linear,Linear.W_aug,512x129,linear_W_aug,7.357026987619975e-08,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.5217824578285217,PRIMITIVE_EXPLANATION_WEAK,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_4.pt,"SVD is compression/pattern fit, not human primitive interpretation."
mod.embed.embed.7.Linear.W,mod.embed.embed.7,Linear,Linear.W,128x512,linear_W,6.811891495317468e-08,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.6829969882965088,PRIMITIVE_EXPLANATION_WEAK,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_7.pt,"SVD is compression/pattern fit, not human primitive interpretation."
mod.embed.embed.7.Linear.W_aug,mod.embed.embed.7,Linear,Linear.W_aug,128x513,linear_W_aug,6.811891495317468e-08,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.6829969882965088,PRIMITIVE_EXPLANATION_WEAK,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_7.pt,"SVD is compression/pattern fit, not human primitive interpretation."
mod.blocks.0.fc1.Linear.W,mod.blocks.0.fc1,Linear,Linear.W,512x128,linear_W,9.311797555255907e-08,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.7707744836807251,PRIMITIVE_EXPLANATION_WEAK,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_0_fc1.pt,"SVD is compression/pattern fit, not human primitive interpretation."
mod.blocks.0.fc1.Linear.W_aug,mod.blocks.0.fc1,Linear,Linear.W_aug,512x129,linear_W_aug,9.311797555255907e-08,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.7707744836807251,PRIMITIVE_EXPLANATION_WEAK,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_0_fc1.pt,"SVD is compression/pattern fit, not human primitive interpretation."
mod.blocks.0.fc2.Linear.W,mod.blocks.0.fc2,Linear,Linear.W,128x512,linear_W,1.2687488037954608e-07,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.82787024974823,PRIMITIVE_EXPLANATION_WEAK,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_0_fc2.pt,"SVD is compression/pattern fit, not human primitive interpretation."
mod.blocks.0.fc2.Linear.W_aug,mod.blocks.0.fc2,Linear,Linear.W_aug,128x513,linear_W_aug,1.2687488037954608e-07,True,APPROX_PATTERN_FIT_RECTANGULAR_SVD,0.82787024974823,PRIMITIVE_EXPLANATION_WEAK,False,False,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_0_fc2.pt,"SVD is compression/pattern fit, not human primitive interpretation."
