control,class_id,class_label,n,acc,acc_drop_from_baseline,pred_flip_rate,delta_base_pred_logit_mean
random_remove1_r1,3,label_Hgg,256,0.6875,0.00390625,0.03515625,-0.03096240758895874
random_remove1_r1,4,label_H4q,256,0.79296875,-0.01171875,0.06640625,-0.02832847833633423
random_remove1_r1,5,label_Hqql,256,0.92578125,0.03125,0.04296875,-0.42259764671325684
random_remove1_r1,6,label_Zqq,256,0.5625,0.046875,0.09765625,-0.17576347291469574
random_remove1_r1,7,label_Wqq,256,0.74609375,-0.015625,0.0703125,-0.12466222047805786
random_remove1_r1,8,label_Tbqq,256,0.87890625,0.02734375,0.0390625,-0.12663054466247559
random_remove1_r1,9,label_Tbl,256,0.91015625,0.05859375,0.0625,-0.9022903442382812
random_remove1_r2,0,label_QCD,256,0.7109375,-0.01171875,0.0625,-0.05199170112609863
random_remove1_r2,1,label_Hbb,256,0.60546875,0.04296875,0.07421875,-0.11145944893360138
random_remove1_r2,2,label_Hcc,256,0.57421875,0.0078125,0.0859375,-0.06375080347061157
random_remove1_r2,3,label_Hgg,256,0.68359375,0.0078125,0.05859375,-0.044107839465141296
random_remove1_r2,4,label_H4q,256,0.80859375,-0.02734375,0.04296875,0.01970672607421875
random_remove1_r2,5,label_Hqql,256,0.91796875,0.0390625,0.04296875,-0.5791869163513184
random_remove1_r2,6,label_Zqq,256,0.57421875,0.03515625,0.078125,-0.11395025998353958
random_remove1_r2,7,label_Wqq,256,0.75390625,-0.0234375,0.09375,-0.1445913165807724
random_remove1_r2,8,label_Tbqq,256,0.890625,0.015625,0.03515625,-0.038121938705444336
random_remove1_r2,9,label_Tbl,256,0.9296875,0.0390625,0.05078125,-0.7379274368286133
remove_top2,0,label_QCD,256,0.59375,0.10546875,0.28515625,-2.4311978816986084
remove_top2,1,label_Hbb,256,0.45703125,0.19140625,0.41015625,-3.356110095977783
remove_top2,2,label_Hcc,256,0.25390625,0.328125,0.5390625,-3.7820887565612793
remove_top2,3,label_Hgg,256,0.68359375,0.0078125,0.21484375,-1.435968279838562
remove_top2,4,label_H4q,256,0.80078125,-0.01953125,0.1875,-1.5885916948318481
remove_top2,5,label_Hqql,256,0.1484375,0.80859375,0.85546875,-14.706323623657227
remove_top2,6,label_Zqq,256,0.2578125,0.3515625,0.625,-4.111015319824219
