module_name,call_index,module_type,captured_input_shape,captured_output_shape,replay_output_shape,replay_rel_err,accepted,fail_reason,mha_rel_err,pair_bias_norm,attn_mask_source,attn_mask_dtype,key_padding_mask_source,key_padding_mask_dtype,normalized_attn_mask_kind,attention_probs_shape
mod.trimmer,0,SequenceTrimmer,"[8x13x128,8x4x128,8x1x128,None]","[8x13x128,8x4x128,8x1x128,None]","[8x13x128,8x4x128,8x1x128,None]",0.0,True,,,,,,,,,
mod.embed.input_bn,0,BatchNorm1d,[8x13x128],8x13x128,8x13x128,7.624907993886154e-08,True,,,,,,,,,
mod.embed.embed.0,0,LayerNorm,[128x8x13],128x8x13,128x8x13,9.083674967769184e-08,True,,,,,,,,,
mod.embed.embed.1,0,Linear,[128x8x13],128x8x128,128x8x128,6.659028173316983e-08,True,,,,,,,,,
mod.embed.embed.2,0,GELU,[128x8x128],128x8x128,128x8x128,7.503888355131494e-08,True,,,,,,,,,
mod.embed.embed.3,0,LayerNorm,[128x8x128],128x8x128,128x8x128,9.708047343792714e-08,True,,,,,,,,,
mod.embed.embed.4,0,Linear,[128x8x128],128x8x512,128x8x512,7.357026987619975e-08,True,,,,,,,,,
mod.embed.embed.5,0,GELU,[128x8x512],128x8x512,128x8x512,9.15928310973868e-09,True,,,,,,,,,
mod.embed.embed.6,0,LayerNorm,[128x8x512],128x8x512,128x8x512,8.34058297982665e-08,True,,,,,,,,,
mod.embed.embed.7,0,Linear,[128x8x512],128x8x128,128x8x128,6.811891495317468e-08,True,,,,,,,,,
mod.embed.embed.8,0,GELU,[128x8x128],128x8x128,128x8x128,4.116841090251455e-09,True,,,,,,,,,
mod.embed.embed,0,Sequential,[128x8x13],128x8x128,128x8x128,1.5246271800606337e-07,True,,,,,,,,,
mod.embed,0,Embed,[8x13x128],128x8x128,128x8x128,1.9297972642107197e-07,True,,,,,,,,,
mod.pair_embed.embed.0,0,BatchNorm1d,[8x4x8256],8x4x8256,8x4x8256,7.530393020260817e-08,True,,,,,,,,,
mod.pair_embed.embed.1,0,Conv1d,[8x4x8256],8x64x8256,8x64x8256,4.178942347721204e-08,True,,,,,,,,,
mod.pair_embed.embed.2,0,BatchNorm1d,[8x64x8256],8x64x8256,8x64x8256,7.781939359574608e-08,True,,,,,,,,,
mod.pair_embed.embed.3,0,GELU,[8x64x8256],8x64x8256,8x64x8256,1.0307697095868207e-07,True,,,,,,,,,
mod.pair_embed.embed.4,0,Conv1d,[8x64x8256],8x64x8256,8x64x8256,6.320010470517445e-08,True,,,,,,,,,
mod.pair_embed.embed.5,0,BatchNorm1d,[8x64x8256],8x64x8256,8x64x8256,9.996895045105703e-08,True,,,,,,,,,
mod.pair_embed.embed.6,0,GELU,[8x64x8256],8x64x8256,8x64x8256,9.880933760086918e-08,True,,,,,,,,,
mod.pair_embed.embed.7,0,Conv1d,[8x64x8256],8x64x8256,8x64x8256,7.323984618778923e-08,True,,,,,,,,,
mod.pair_embed.embed.8,0,BatchNorm1d,[8x64x8256],8x64x8256,8x64x8256,8.165818599081831e-08,True,,,,,,,,,
mod.pair_embed.embed.9,0,GELU,[8x64x8256],8x64x8256,8x64x8256,8.848696353425112e-08,True,,,,,,,,,
mod.pair_embed.embed.10,0,Conv1d,[8x64x8256],8x8x8256,8x8x8256,6.107749328521095e-08,True,,,,,,,,,
mod.pair_embed.embed.11,0,BatchNorm1d,[8x8x8256],8x8x8256,8x8x8256,5.77470551377246e-08,True,,,,,,,,,
mod.pair_embed.embed.12,0,GELU,[8x8x8256],8x8x8256,8x8x8256,1.833181073607193e-08,True,,,,,,,,,
mod.pair_embed.embed,0,Sequential,[8x4x8256],8x8x8256,8x8x8256,1.908880307155414e-07,True,,,,,,,,,
mod.pair_embed,0,PairEmbed,"[8x4x128,None]",8x8x128x128,8x8x128x128,5.105758873469313e-07,True,,,,,,,,,
mod.blocks.0.pre_attn_norm,0,LayerNorm,[128x8x128],128x8x128,128x8x128,6.550345688083326e-08,True,,,,,,,,,
mod.blocks.0.attn,0,MultiheadAttention,"[128x8x128,128x8x128,128x8x128]","[128x8x128,8x128x128]",128x8x128,2.2585140868613962e-07,True,,2.2585140868613962e-07,7322.5400390625,kwargs,torch.float32,kwargs,torch.bool,torch.float32,"(8, 8, 128, 128)"
mod.blocks.0.post_attn_norm,0,LayerNorm,[128x8x128],128x8x128,128x8x128,9.325592031927954e-08,True,,,,,,,,,
mod.blocks.0.dropout,0,Dropout,[128x8x128],128x8x128,128x8x128,0.0,True,,,,,,,,,
mod.blocks.0.pre_fc_norm,0,LayerNorm,[128x8x128],128x8x128,128x8x128,8.814343033236582e-08,True,,,,,,,,,
mod.blocks.0.fc1,0,Linear,[128x8x128],128x8x512,128x8x512,9.311797555255907e-08,True,,,,,,,,,
mod.blocks.0.act,0,GELU,[128x8x512],128x8x512,128x8x512,4.392795105445657e-08,True,,,,,,,,,
mod.blocks.0.act_dropout,0,Dropout,[128x8x512],128x8x512,128x8x512,0.0,True,,,,,,,,,
mod.blocks.0.post_fc_norm,0,LayerNorm,[128x8x512],128x8x512,128x8x512,8.977495014050874e-08,True,,,,,,,,,
mod.blocks.0.fc2,0,Linear,[128x8x512],128x8x128,128x8x128,1.2687488037954608e-07,True,,,,,,,,,
