true_label,total,label_QCD,label_Hbb,label_Hcc,label_Hgg,label_H4q,label_Hqql,label_Zqq,label_Wqq,label_Tbqq,label_Tbl
label_QCD,4096,2959,69,134,281,100,9,178,206,155,5
label_Hbb,4096,70,2780,474,375,115,8,167,14,89,4
label_Hcc,4096,83,475,2558,327,265,5,248,43,90,2
label_Hgg,4096,117,248,256,2828,438,1,96,30,81,1
label_H4q,4096,42,55,131,357,3276,8,76,52,98,1
label_Hqql,4096,3,12,4,1,6,3870,20,18,8,154
label_Zqq,4096,212,105,120,74,104,10,2514,866,87,4
label_Wqq,4096,247,18,32,25,79,14,591,3014,75,1
label_Tbqq,4096,70,64,50,38,107,5,7,10,3741,4
label_Tbl,4096,6,5,1,2,0,145,2,2,4,3929
