test,target_group,n,flip_rate,success_to_Hqql_rate,mean_delta_margin_Hqql_minus_Tbl,mean_delta_baseline_pred_logit,mean_delta_Hqql_logit,mean_delta_Tbl_logit
2A_isolation_hadronic_injection,Hqql_to_Tbl,150,0.6666666666666666,0.62,1.9643530599276224,-3.0571478815873463,-1.0927948210636775,-3.0571478815873463
2C_neighbor_swap,Hqql_to_Tbl,150,0.38,0.34,0.4108239529530207,-3.1486940519014994,-2.737870076497396,-3.1486940519014994
random_same_count,Hqql_to_Tbl,150,0.58,0.5333333333333333,1.4396709863344828,-1.2366977226734162,0.2029732592900594,-1.2366977226734162
2B_lepton_core_swap,Tbl_correct,150,0.31333333333333335,0.16,4.7451446094115575,-3.075447173714638,1.6696974593400955,-3.075447173714638
random_same_count,Tbl_correct,150,0.17333333333333334,0.16,4.5344351710875825,-0.9294460026423136,3.604989164272944,-0.9294460026423136
