group,n,particle0_pid_modes,leading_pid_modes,confidence_mean,missing_pt_proxy_mean,particle0_pt_mean,particle0_pt_rank_mean,particle0_is_lepton_mean,particle0_is_electron_mean,particle0_is_muon_mean,particle0_iso_pt_ratio_mean,particle0_knn_charged_hadron_frac_mean,particle0_knn_electron_frac_mean,particle0_knn_muon_frac_mean,leading_is_lepton_mean,leading_iso_pt_ratio_mean,has_lepton_mean,best_lepton_iso_pt_ratio_mean,deltaR_p0_lepton_mean,deltaR_lead_lepton_mean
Hqql_correct,3870,"electron:1362, muon:1316, charged_hadron:582, photon:336, neutral_hadron:274","electron:1362, muon:1316, charged_hadron:582, photon:336, neutral_hadron:274",0.9607319145008575,617.0743795092321,239.58899256191205,0.0,0.6919896640826874,0.351937984496124,0.3400516795865633,0.15600824250179487,0.38683785529715764,0.11204780361757107,0.104812661498708,0.6919896640826874,0.15600824250179487,0.9925064599483204,0.1560856313844933,0.09263418128632807,0.09263418128632807
Hqql_to_Tbl,154,"electron:68, muon:53, photon:15, neutral_hadron:10, charged_hadron:8","electron:68, muon:53, photon:15, neutral_hadron:10, charged_hadron:8",0.7353155880005329,606.0438669786117,232.8427999917563,0.0,0.7857142857142857,0.44155844155844154,0.34415584415584416,0.19046002077729626,0.338474025974026,0.11688311688311688,0.07913961038961038,0.7857142857142857,0.19046002077729626,1.0,0.18745157788641417,0.06240272148600277,0.06240272148600277
Tbl_correct,3929,"muon:1685, electron:1583, charged_hadron:269, photon:223, neutral_hadron:169","muon:1685, electron:1583, charged_hadron:269, photon:223, neutral_hadron:169",0.9698423447727884,597.0555996085319,251.0674901696737,0.0,0.8317638075846271,0.402901501654365,0.42886230593026214,0.16676681234883095,0.31401119877831507,0.12980402137948588,0.13456032069228813,0.8317638075846271,0.16676681234883095,0.9928735047085773,0.1690633567146516,0.06612771386376376,0.06612771386376376
Tbl_to_Hqql,145,"electron:53, muon:52, charged_hadron:23, neutral_hadron:9, photon:8","electron:53, muon:52, charged_hadron:23, neutral_hadron:9, photon:8",0.7348873578268906,602.3097573826844,228.0390210908035,0.0,0.7241379310344828,0.36551724137931035,0.3586206896551724,0.16482456338681445,0.4056034482758621,0.10474137931034483,0.10948275862068965,0.7241379310344828,0.16482456338681445,1.0,0.17678045015731464,0.09529178541679044,0.09529178541679044
