patch,layer,group,class_id,class_label,n,base_acc,patch_acc,acc_drop,pred_logit_drop
edge_conv_zero,1,edge_conv,4,label_H4q,256,0.78125,0.0,0.78125,295.5943908691406
edge_conv_zero,0,edge_conv,4,label_H4q,256,0.78125,0.0,0.78125,229.22802734375
features_zero,input,all_features,4,label_H4q,256,0.78125,0.0,0.78125,151.38336181640625
feature_group_zero,input,coords_last2,4,label_H4q,256,0.78125,0.0,0.78125,31.220752716064453
edge_conv_zero,2,edge_conv,4,label_H4q,256,0.78125,0.0,0.78125,22.207704544067383
feature_group_zero,input,pid_charge_5_10,4,label_H4q,256,0.78125,0.0,0.78125,7.597203254699707
fc_zero,1,fc,4,label_H4q,256,0.78125,0.0,0.78125,0.8994060754776001
fc_zero,0,fc,4,label_H4q,256,0.78125,0.0,0.78125,0.32246464490890503
mask_all_true,input,mask,4,label_H4q,256,0.78125,0.00390625,0.77734375,7.542573928833008
feature_channel_zero,input,part_pt_log,4,label_H4q,256,0.78125,0.05078125,0.73046875,4.255558013916016
feature_group_zero,input,kin_logs_0_4,4,label_H4q,256,0.78125,0.30078125,0.48046875,8.893009185791016
feature_channel_zero,input,part_charge,4,label_H4q,256,0.78125,0.39453125,0.38671875,1.5075609683990479
feature_channel_zero,input,part_deta,4,label_H4q,256,0.78125,0.55078125,0.23046875,4.6870951652526855
feature_channel_zero,input,part_deltaR,4,label_H4q,256,0.78125,0.55078125,0.23046875,3.7827839851379395
feature_channel_zero,input,part_isPhoton,4,label_H4q,256,0.78125,0.55859375,0.22265625,1.457369089126587
feature_channel_zero,input,part_dphi,4,label_H4q,256,0.78125,0.578125,0.203125,4.181578636169434
feature_channel_zero,input,part_isChargedHadron,4,label_H4q,256,0.78125,0.62890625,0.15234375,1.4189138412475586
feature_channel_zero,input,part_logptrel,4,label_H4q,256,0.78125,0.6640625,0.1171875,3.3068552017211914
feature_channel_zero,input,part_e_log,4,label_H4q,256,0.78125,0.73828125,0.04296875,0.227743461728096
feature_channel_zero,input,part_isNeutralHadron,4,label_H4q,256,0.78125,0.74609375,0.03515625,0.8579487800598145
particle_topk_mask_zero,particles,top_pt,4,label_H4q,256,0.78125,0.765625,0.015625,2.0841097831726074
particle_topk_mask_zero,particles,top_energy,4,label_H4q,256,0.78125,0.765625,0.015625,2.0841097831726074
particle_topk_mask_zero,particles,high_deltaR,4,label_H4q,256,0.78125,0.765625,0.015625,2.0841097831726074
feature_channel_zero,input,part_isMuon,4,label_H4q,256,0.78125,0.78125,0.0,-0.0021417695097625256
feature_channel_zero,input,part_isElectron,4,label_H4q,256,0.78125,0.78515625,-0.00390625,-0.007892691530287266
feature_channel_zero,input,part_logerel,4,label_H4q,256,0.78125,0.796875,-0.015625,3.3856825828552246
points_zero,input,all_points,4,label_H4q,256,0.78125,0.9296875,-0.1484375,1.000685691833496
edge_conv_zero,1,edge_conv,1,label_Hbb,256,0.6484375,0.0,0.6484375,281.1665954589844
edge_conv_zero,0,edge_conv,1,label_Hbb,256,0.6484375,0.0,0.6484375,242.81057739257812
edge_conv_zero,2,edge_conv,1,label_Hbb,256,0.6484375,0.0,0.6484375,19.287256240844727
fc_zero,0,fc,1,label_Hbb,256,0.6484375,0.0,0.6484375,0.37048882246017456
fc_zero,1,fc,1,label_Hbb,256,0.6484375,0.0,0.6484375,0.24590802192687988
features_zero,input,all_features,1,label_Hbb,256,0.6484375,0.00390625,0.64453125,97.18009948730469
feature_group_zero,input,pid_charge_5_10,1,label_Hbb,256,0.6484375,0.0078125,0.640625,6.468950271606445
feature_channel_zero,input,part_logptrel,1,label_Hbb,256,0.6484375,0.125,0.5234375,5.029202461242676
feature_channel_zero,input,part_pt_log,1,label_Hbb,256,0.6484375,0.1328125,0.515625,3.1610608100891113
feature_group_zero,input,coords_last2,1,label_Hbb,256,0.6484375,0.19921875,0.44921875,25.901641845703125
feature_group_zero,input,kin_logs_0_4,1,label_Hbb,256,0.6484375,0.2421875,0.40625,11.224433898925781
feature_channel_zero,input,part_isPhoton,1,label_Hbb,256,0.6484375,0.3671875,0.28125,1.5808098316192627
mask_all_true,input,mask,1,label_Hbb,256,0.6484375,0.390625,0.2578125,7.923929214477539
points_zero,input,all_points,1,label_Hbb,256,0.6484375,0.4140625,0.234375,1.2369742393493652
feature_channel_zero,input,part_deltaR,1,label_Hbb,256,0.6484375,0.44140625,0.20703125,3.9249768257141113
particle_topk_mask_zero,particles,top_pt,1,label_Hbb,256,0.6484375,0.44140625,0.20703125,3.602631092071533
particle_topk_mask_zero,particles,top_energy,1,label_Hbb,256,0.6484375,0.44140625,0.20703125,3.602631092071533
particle_topk_mask_zero,particles,high_deltaR,1,label_Hbb,256,0.6484375,0.44140625,0.20703125,3.602631092071533
feature_channel_zero,input,part_charge,1,label_Hbb,256,0.6484375,0.44921875,0.19921875,0.8600665330886841
feature_channel_zero,input,part_logerel,1,label_Hbb,256,0.6484375,0.48046875,0.16796875,6.051860332489014
feature_channel_zero,input,part_isMuon,1,label_Hbb,256,0.6484375,0.578125,0.0703125,0.01652212254703045
feature_channel_zero,input,part_dphi,1,label_Hbb,256,0.6484375,0.58203125,0.06640625,3.84521484375
feature_channel_zero,input,part_deta,1,label_Hbb,256,0.6484375,0.58984375,0.05859375,5.3536553382873535
feature_channel_zero,input,part_isElectron,1,label_Hbb,256,0.6484375,0.6015625,0.046875,-0.05075833946466446
feature_channel_zero,input,part_isNeutralHadron,1,label_Hbb,256,0.6484375,0.60546875,0.04296875,0.7490712404251099
feature_channel_zero,input,part_e_log,1,label_Hbb,256,0.6484375,0.6171875,0.03125,0.3623327314853668
feature_channel_zero,input,part_isChargedHadron,1,label_Hbb,256,0.6484375,0.68359375,-0.03515625,1.2707518339157104
edge_conv_zero,1,edge_conv,2,label_Hcc,256,0.58203125,0.0,0.58203125,277.220458984375
edge_conv_zero,0,edge_conv,2,label_Hcc,256,0.58203125,0.0,0.58203125,236.76458740234375
features_zero,input,all_features,2,label_Hcc,256,0.58203125,0.0,0.58203125,111.037841796875
edge_conv_zero,2,edge_conv,2,label_Hcc,256,0.58203125,0.0,0.58203125,19.688732147216797
feature_group_zero,input,kin_logs_0_4,2,label_Hcc,256,0.58203125,0.0,0.58203125,11.504461288452148
feature_group_zero,input,pid_charge_5_10,2,label_Hcc,256,0.58203125,0.0,0.58203125,7.40156888961792
fc_zero,0,fc,2,label_Hcc,256,0.58203125,0.0,0.58203125,0.6016249656677246
fc_zero,1,fc,2,label_Hcc,256,0.58203125,0.0,0.58203125,0.5987285375595093
feature_group_zero,input,coords_last2,2,label_Hcc,256,0.58203125,0.00390625,0.578125,26.406898498535156
