control,n_events,valid_particles_mean_after,acc,mean_conf,pred_flip_rate,base_pred_logit_mean,ctrl_base_pred_logit_mean,delta_base_pred_logit_mean,acc_drop_from_baseline
baseline,2560,39.39883041381836,0.7574218511581421,0.7632830142974854,0.0,0.875388503074646,0.875388503074646,0.0,0.0
remove_particle0,2560,38.39883041381836,0.563281238079071,0.708976149559021,0.3160156309604645,0.875388503074646,-2.6891095638275146,-3.5644980669021606,0.19414061307907104
keep_only_particle0,2560,1.0,0.20273438096046448,0.8144317865371704,0.794140636920929,0.875388503074646,-25.6352481842041,-26.510636687278748,0.5546874701976776
remove_top1,2560,38.39883041381836,0.563281238079071,0.708976149559021,0.3160156309604645,0.875388503074646,-2.6891095638275146,-3.5644980669021606,0.19414061307907104
keep_top1,2560,1.0,0.20273438096046448,0.8144317865371704,0.794140636920929,0.875388503074646,-25.6352481842041,-26.510636687278748,0.5546874701976776
random_remove1_r0,2560,38.39883041381836,0.744921863079071,0.7612613439559937,0.06093750149011612,0.875388503074646,0.6554700136184692,-0.21991848945617676,0.012499988079071045
random_remove1_r1,2560,38.39883041381836,0.7386718988418579,0.7604197263717651,0.06367187201976776,0.875388503074646,0.6634371280670166,-0.2119513750076294,0.01874995231628418
random_remove1_r2,2560,38.39883041381836,0.744921863079071,0.7624410390853882,0.0625,0.875388503074646,0.6888504028320312,-0.18653810024261475,0.012499988079071045
remove_top2,2560,37.39883041381836,0.4566406309604645,0.6984900832176208,0.4664062559604645,0.875388503074646,-4.677702903747559,-5.553091406822205,0.3007812201976776
keep_top2,2560,2.0,0.24296875298023224,0.8114285469055176,0.7476562261581421,0.875388503074646,-15.922297477722168,-16.797685980796814,0.5144530981779099
random_remove2_r0,2560,37.39883041381836,0.719531238079071,0.7556867003440857,0.09335937350988388,0.875388503074646,0.49331873655319214,-0.38206976652145386,0.037890613079071045
random_remove2_r1,2560,37.39883041381836,0.720703125,0.7577044367790222,0.10117187350988388,0.875388503074646,0.43305104970932007,-0.4423374533653259,0.03671872615814209
random_remove2_r2,2560,37.39883041381836,0.7300781011581421,0.7568627595901489,0.09492187201976776,0.875388503074646,0.5430558919906616,-0.3323326110839844,0.02734375
remove_top4,2560,35.39921951293945,0.3492187559604645,0.7122199535369873,0.5921875238418579,0.875388503074646,-7.389430046081543,-8.264818549156189,0.4082030951976776
keep_top4,2560,3.9996094703674316,0.29218751192092896,0.8289143443107605,0.700390636920929,0.875388503074646,-11.366595268249512,-12.241983771324158,0.46523433923721313
random_remove4_r0,2560,35.39921951293945,0.6871093511581421,0.748231053352356,0.17265625298023224,0.875388503074646,-0.02572379633784294,-0.9011122994124889,0.0703125
random_remove4_r1,2560,35.39921951293945,0.688281238079071,0.7522870302200317,0.18203124403953552,0.875388503074646,-0.0975262001156807,-0.9729147031903267,0.06914061307907104
random_remove4_r2,2560,35.39921951293945,0.6773437261581421,0.7474305033683777,0.18085937201976776,0.875388503074646,0.008878476917743683,-0.8665100261569023,0.080078125
remove_top8,2560,31.40351676940918,0.2691406309604645,0.709408700466156,0.684374988079071,0.875388503074646,-10.34860610961914,-11.223994612693787,0.4882812201976776
keep_top8,2560,7.995312690734863,0.3773437440395355,0.8206521272659302,0.60546875,0.875388503074646,-5.554169654846191,-6.429558157920837,0.38007810711860657
random_remove8_r0,2560,31.40351676940918,0.5855468511581421,0.7367390394210815,0.3089843690395355,0.875388503074646,-1.6367721557617188,-2.5121606588363647,0.171875
random_remove8_r1,2560,31.40351676940918,0.5882812738418579,0.7410383820533752,0.3148437440395355,0.875388503074646,-1.4468584060668945,-2.3222469091415405,0.16914057731628418
random_remove8_r2,2560,31.40351676940918,0.581250011920929,0.7395203709602356,0.31367188692092896,0.875388503074646,-1.5001649856567383,-2.3755534887313843,0.17617183923721313
remove_top16,2560,23.5,0.19804687798023224,0.6925966143608093,0.787109375,0.875388503074646,-13.897015571594238,-14.772404074668884,0.5593749731779099
keep_top16,2560,15.898828506469727,0.5390625,0.7988463640213013,0.40507811307907104,0.875388503074646,-0.8261971473693848,-1.7015856504440308,0.2183593511581421
random_remove16_r0,2560,23.5,0.3792968690395355,0.7432585954666138,0.56640625,0.875388503074646,-6.0263671875,-6.901755690574646,0.37812498211860657
random_remove16_r1,2560,23.5,0.38007813692092896,0.7402787208557129,0.5703125,0.875388503074646,-5.981471061706543,-6.856859564781189,0.37734371423721313
random_remove16_r2,2560,23.5,0.3890624940395355,0.7424952983856201,0.5562499761581421,0.875388503074646,-5.99343729019165,-6.868825793266296,0.36835935711860657
