patch,layer,group,channel_head,channels,delta_pred_logit,kl,top1_match,base_acc,patch_acc
edge_channel_head_zero,1,ch16:32,1,16:32,9.114623069763184,1.2542839050292969,0.5328125357627869,0.7574219107627869,0.49335938692092896
edge_channel_head_zero,2,ch224:256,7,224:256,4.763679027557373,0.30713951587677,0.7769531607627869,0.7574219107627869,0.694531261920929
edge_channel_head_zero,0,ch40:48,5,40:48,3.815220832824707,0.4932892322540283,0.6949219107627869,0.7574219107627869,0.620312511920929
edge_channel_head_zero,1,ch112:128,7,112:128,3.263317108154297,0.38632702827453613,0.721484363079071,0.7574219107627869,0.641796886920929
edge_channel_head_zero,0,ch24:32,3,24:32,2.3406918048858643,0.7447906732559204,0.6207031607627869,0.7574219107627869,0.557812511920929
edge_channel_head_zero,0,ch8:16,1,8:16,1.6804306507110596,0.3651539385318756,0.7144531607627869,0.7574219107627869,0.6226562857627869
edge_channel_head_zero,2,ch64:96,2,64:96,1.593994140625,0.029784947633743286,0.926953136920929,0.7574219107627869,0.7417969107627869
edge_channel_head_zero,0,ch48:56,6,48:56,1.3934763669967651,0.4175509512424469,0.689453125,0.7574219107627869,0.6214843988418579
edge_channel_head_zero,0,ch16:24,2,16:24,1.0691368579864502,0.36895546317100525,0.7261719107627869,0.7574219107627869,0.629687488079071
edge_channel_head_zero,2,ch0:32,0,0:32,0.8878049254417419,0.1967892199754715,0.8140625357627869,0.7574219107627869,0.677734375
edge_channel_head_zero,0,ch0:8,0,0:8,0.8533021211624146,0.4884199798107147,0.64453125,0.7574219107627869,0.5972656607627869
edge_channel_head_zero,1,ch96:112,6,96:112,0.8114314079284668,0.18613678216934204,0.7789062857627869,0.7574219107627869,0.6839843988418579
edge_channel_head_zero,2,ch128:160,4,128:160,0.7800450921058655,0.04606840759515762,0.9039062857627869,0.7574219107627869,0.745312511920929
edge_channel_head_zero,0,ch56:64,7,56:64,0.610243558883667,0.22276146709918976,0.759765625,0.7574219107627869,0.6722656488418579
edge_channel_head_zero,0,ch32:40,4,32:40,0.49115297198295593,0.12266214191913605,0.8671875,0.7574219107627869,0.7152343988418579
edge_channel_head_zero,1,ch32:48,2,32:48,0.4805828630924225,0.1152973398566246,0.836718738079071,0.7574219107627869,0.708984375
edge_channel_head_zero,2,ch160:192,5,160:192,0.42138180136680603,0.03716913238167763,0.9429687857627869,0.7574219107627869,0.750781238079071
edge_channel_head_zero,1,ch48:64,3,48:64,0.40318959951400757,0.05862903222441673,0.8921875357627869,0.7574219107627869,0.7359375357627869
edge_channel_head_zero,1,ch80:96,5,80:96,0.37132447957992554,0.08772881329059601,0.8988281488418579,0.7574219107627869,0.7417969107627869
edge_channel_head_zero,2,ch192:224,6,192:224,0.3157835006713867,0.033590592443943024,0.940234363079071,0.7574219107627869,0.748828113079071
edge_channel_head_zero,1,ch0:16,0,0:16,0.2483496069908142,0.10321136564016342,0.8609375357627869,0.7574219107627869,0.7339844107627869
edge_channel_head_zero,2,ch32:64,1,32:64,0.18829059600830078,0.05124596506357193,0.901562511920929,0.7574219107627869,0.741406261920929
edge_channel_head_zero,2,ch96:128,3,96:128,0.1720312237739563,0.02148442342877388,0.9359375238418579,0.7574219107627869,0.758593738079071
edge_channel_head_zero,1,ch64:80,4,64:80,0.15136319398880005,0.061640411615371704,0.8949218988418579,0.7574219107627869,0.7378906607627869
