patch,layer,group,n,pred_counts,true_counts,acc,delta_pred_logit,kl,logit_rel,top1_match,base_acc,patch_acc,neurons,score_sum
baseline,,,2560,"[909, 0, 206, 0, 21, 344, 954, 0, 0, 126]","[256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",0.11640625447034836,,,,,,,,
pair_embed_zero,,pair_bias,,,,,1.3839490413665771,0.9652816653251648,0.5652353763580322,0.6195312738418579,0.11640625447034836,0.11093749850988388,,
particle_block_skip,0,block,,,,,0.7419991493225098,0.7912200093269348,0.5150641202926636,0.6546875238418579,0.11640625447034836,0.107421875,,
particle_block_skip,1,block,,,,,0.45150136947631836,0.3871796727180481,0.3871086537837982,0.725781261920929,0.11640625447034836,0.11289062350988388,,
particle_block_skip,2,block,,,,,0.16062021255493164,0.2715575695037842,0.3262474238872528,0.7835937738418579,0.11640625447034836,0.1171875,,
particle_block_skip,3,block,,,,,0.12718486785888672,0.20149555802345276,0.27730533480644226,0.8226562738418579,0.11640625447034836,0.115234375,,
particle_block_skip,4,block,,,,,-0.02289724349975586,0.2440759241580963,0.2914593517780304,0.782031238079071,0.11640625447034836,0.12578125298023224,,
particle_block_skip,5,block,,,,,-0.08096790313720703,0.37934640049934387,0.35587626695632935,0.717578113079071,0.11640625447034836,0.13242188096046448,,
particle_block_skip,6,block,,,,,0.1674942970275879,0.41688308119773865,0.3924523890018463,0.705078125,0.11640625447034836,0.12187500298023224,,
particle_block_skip,7,block,,,,,0.36887454986572266,0.8127931952476501,0.62111496925354,0.6402344107627869,0.11640625447034836,0.11210937798023224,,
cls_block_zero,0,cls_block,,,,,2.133612632751465,3.8343498706817627,0.8977895975112915,0.3539062440395355,0.11640625447034836,0.10078125447034836,,
cls_block_zero,1,cls_block,,,,,4.644615650177002,1.4240906238555908,0.977184534072876,0.3550781309604645,0.11640625447034836,0.10000000149011612,,
mlp_top_group_zero,0,top32,,,,,-0.013804435729980469,0.030800852924585342,0.09780018031597137,0.9312500357627869,0.11640625447034836,0.11679687350988388,"[122, 80, 164, 0, 438, 64, 12, 425, 59, 81, 403, 289, 155, 105, 23, 139, 291, 141, 120, 349, 250, 166, 129, 193, 54, 179, 452, 412, 182, 505, 422, 450]",172.37094116210938
mlp_top_group_zero,1,top32,,,,,0.02924203872680664,0.02378096617758274,0.08491124957799911,0.9468750357627869,0.11640625447034836,0.11835937947034836,"[110, 323, 442, 370, 252, 75, 27, 371, 209, 87, 215, 347, 192, 77, 197, 109, 202, 128, 203, 410, 290, 216, 236, 397, 267, 369, 139, 352, 474, 416, 500, 184]",183.13536071777344
mlp_top_group_zero,2,top32,,,,,0.019010543823242188,0.012484973296523094,0.07140810042619705,0.949999988079071,0.11640625447034836,0.11484374850988388,"[380, 78, 240, 11, 200, 312, 105, 394, 71, 369, 170, 427, 112, 284, 41, 364, 334, 354, 247, 249, 492, 234, 52, 90, 304, 235, 126, 403, 486, 168, 510, 376]",138.85824584960938
mlp_top_group_zero,3,top32,,,,,0.007770061492919922,0.007104301359504461,0.052531249821186066,0.9683594107627869,0.11640625447034836,0.11601562798023224,"[474, 97, 34, 122, 53, 15, 93, 452, 72, 419, 144, 11, 240, 29, 127, 84, 454, 395, 356, 359, 50, 216, 243, 168, 428, 158, 25, 246, 183, 304, 376, 166]",153.6166534423828
mlp_top_group_zero,4,top32,,,,,0.01298379898071289,0.013834218494594097,0.0681239441037178,0.9468750357627869,0.11640625447034836,0.11835937947034836,"[453, 252, 117, 284, 268, 295, 38, 76, 128, 154, 22, 286, 188, 301, 510, 32, 175, 140, 55, 225, 440, 318, 508, 331, 419, 498, 10, 501, 247, 259, 243, 213]",152.53811645507812
mlp_top_group_zero,5,top32,,,,,0.0007643699645996094,0.019055604934692383,0.0889667421579361,0.940625011920929,0.11640625447034836,0.11874999850988388,"[51, 123, 5, 353, 316, 290, 389, 118, 484, 120, 314, 20, 128, 237, 415, 195, 155, 13, 490, 223, 291, 373, 310, 139, 274, 330, 180, 125, 285, 348, 66, 164]",155.81509399414062
mlp_top_group_zero,6,top32,,,,,-0.03195667266845703,0.030591493472456932,0.10303443670272827,0.926562488079071,0.11640625447034836,0.11328125,"[301, 166, 272, 150, 186, 68, 291, 55, 158, 214, 30, 493, 473, 175, 63, 502, 36, 411, 372, 240, 274, 374, 191, 370, 487, 373, 383, 233, 145, 330, 50, 107]",212.98582458496094
mlp_top_group_zero,7,top32,,,,,-0.05486249923706055,0.11658551543951035,0.2082509994506836,0.874218761920929,0.11640625447034836,0.11757812649011612,"[2, 141, 181, 250, 447, 218, 227, 427, 178, 319, 240, 224, 306, 376, 222, 321, 128, 116, 486, 5, 366, 356, 453, 273, 377, 126, 208, 94, 189, 388, 314, 456]",304.71978759765625
