layer,group_id,channels,grad,abs_grad,positive_grad,head_id
1,7,ch112:128,0.8689268512214768,0.8689268512214768,0.8689268512214768,L1_ch112:128
1,1,ch16:32,0.748019616522652,0.748019616522652,0.748019616522652,L1_ch16:32
0,5,ch40:48,0.715566657370073,0.715566657370073,0.715566657370073,L0_ch40:48
2,7,ch224:256,0.7083240525222217,0.7083240525222217,0.7083240525222217,L2_ch224:256
0,6,ch48:56,0.3768698421619773,0.3768698421619773,0.3768698421619773,L0_ch48:56
0,1,ch8:16,0.3576639466715291,0.3576639466715291,0.3576639466715291,L0_ch8:16
2,4,ch128:160,0.3421113716471157,0.3421113716471157,0.3421113716471157,L2_ch128:160
2,2,ch64:96,0.3056455652433215,0.3056455652433215,0.3056455652433215,L2_ch64:96
2,0,ch0:32,0.2610779497063049,0.2610779497063049,0.2610779497063049,L2_ch0:32
0,3,ch24:32,0.22714711990847689,0.22714711990847689,0.22714711990847689,L0_ch24:32
1,2,ch32:48,0.21075477813137686,0.21075477813137686,0.21075477813137686,L1_ch32:48
0,0,ch0:8,-0.20418599925615105,0.20418599925615105,0.0,L0_ch0:8
1,4,ch64:80,-0.183527687044989,0.183527687044989,0.0,L1_ch64:80
1,5,ch80:96,-0.16921844155003798,0.16921844155003798,0.0,L1_ch80:96
1,3,ch48:64,0.1365954355052964,0.1365954355052964,0.1365954355052964,L1_ch48:64
2,1,ch32:64,-0.13062319853925153,0.13062319853925153,0.0,L2_ch32:64
0,4,ch32:40,0.11246960707576363,0.11246960707576363,0.11246960707576363,L0_ch32:40
0,2,ch16:24,0.08959298154077243,0.08959298154077243,0.08959298154077243,L0_ch16:24
2,3,ch96:128,-0.06664143828711544,0.06664143828711544,0.0,L2_ch96:128
2,5,ch160:192,-0.04230899697795393,0.04230899697795393,0.0,L2_ch160:192
2,6,ch192:224,0.036883427306383984,0.036883427306383984,0.036883427306383984,L2_ch192:224
1,6,ch96:112,0.02857979802283812,0.02857979802283812,0.02857979802283812,L1_ch96:112
0,7,ch56:64,-0.018621155667642587,0.018621155667642587,0.0,L0_ch56:64
1,0,ch0:16,-0.014614771667402222,0.014614771667402222,0.0,L1_ch0:16
