patch,layer,group,pred_counts,acc,delta_pred_logit,kl,logit_rel,top1_match,base_acc,patch_acc,neurons,score_sum
baseline,,,"[53, 0, 10, 0, 0, 4, 56, 0, 0, 5]",0.0,,,,,,,,
pair_embed_zero,,pair_bias,,,0.7856054306030273,0.8360657095909119,0.556016743183136,0.59375,0.0,0.0,,
particle_block_skip,0,block,,,0.7509524822235107,0.7725517749786377,0.5347051024436951,0.6328125,0.0,0.0,,
particle_block_skip,1,block,,,0.2178330421447754,0.4029601216316223,0.4179016053676605,0.71875,0.0,0.0,,
particle_block_skip,2,block,,,0.3724532127380371,0.35232189297676086,0.3522321283817291,0.75,0.0,0.0,,
particle_block_skip,3,block,,,0.39862918853759766,0.2415412962436676,0.33233028650283813,0.75,0.0,0.0078125,,
particle_block_skip,4,block,,,0.28601503372192383,0.29085761308670044,0.318726509809494,0.7265625,0.0,0.0,,
particle_block_skip,5,block,,,0.13693904876708984,0.5208665132522583,0.382363498210907,0.671875,0.0,0.0,,
particle_block_skip,6,block,,,0.13555526733398438,0.5997519493103027,0.43544936180114746,0.6484375,0.0,0.0,,
particle_block_skip,7,block,,,0.33619117736816406,0.5162299871444702,0.5081107020378113,0.7265625,0.0,0.0,,
cls_block_zero,0,cls_block,,,1.6955811977386475,4.123510360717773,0.9909725785255432,0.4140625,0.0,0.0,,
cls_block_zero,1,cls_block,,,4.255267143249512,1.2167024612426758,0.9626051783561707,0.4140625,0.0,0.0,,
mlp_top_group_zero,0,top32,,,-0.01149606704711914,0.0683639794588089,0.13503314554691315,0.8828125,0.0,0.0,"[0, 122, 80, 164, 438, 64, 289, 412, 291, 193, 81, 59, 155, 425, 349, 141, 23, 273, 403, 178, 139, 54, 123, 105, 120, 129, 179, 12, 195, 24, 446, 182]",180.21922302246094
mlp_top_group_zero,1,top32,,,0.05601644515991211,0.06193874031305313,0.12941566109657288,0.8984375,0.0,0.0,"[110, 323, 442, 75, 252, 370, 27, 87, 209, 371, 215, 77, 352, 197, 202, 474, 109, 410, 369, 236, 397, 267, 192, 128, 300, 290, 139, 88, 203, 347, 500, 409]",204.63404846191406
mlp_top_group_zero,2,top32,,,0.027103424072265625,0.019215811043977737,0.07184553146362305,0.921875,0.0,0.0,"[380, 78, 240, 11, 134, 369, 334, 312, 394, 492, 90, 16, 304, 364, 510, 284, 453, 234, 247, 403, 126, 227, 52, 170, 41, 200, 168, 486, 474, 112, 245, 241]",138.89718627929688
mlp_top_group_zero,3,top32,,,0.10219573974609375,0.010837399400770664,0.07445675134658813,0.921875,0.0,0.0,"[122, 474, 34, 97, 15, 93, 240, 53, 454, 11, 144, 72, 304, 436, 29, 50, 359, 88, 395, 30, 231, 428, 127, 452, 161, 243, 419, 166, 376, 411, 183, 25]",166.9002227783203
mlp_top_group_zero,4,top32,,,0.017349720001220703,0.018568940460681915,0.07866903394460678,0.9453125,0.0,0.0,"[252, 295, 194, 268, 453, 76, 38, 117, 498, 188, 510, 106, 22, 501, 32, 128, 67, 348, 284, 247, 154, 440, 261, 140, 419, 17, 55, 318, 71, 250, 225, 286]",152.9107666015625
mlp_top_group_zero,5,top32,,,-0.027954578399658203,0.014583142474293709,0.07866781204938889,0.9375,0.0,0.0,"[5, 123, 195, 20, 316, 290, 285, 380, 389, 431, 415, 128, 155, 125, 490, 139, 13, 120, 373, 484, 164, 353, 359, 310, 157, 51, 348, 291, 86, 159, 237, 170]",155.7731170654297
mlp_top_group_zero,6,top32,,,-0.03450822830200195,0.036821167916059494,0.10332813113927841,0.90625,0.0,0.0,"[301, 214, 166, 411, 487, 36, 158, 272, 191, 150, 493, 68, 502, 107, 291, 370, 139, 30, 186, 203, 240, 63, 175, 373, 368, 473, 55, 111, 145, 330, 429, 351]",220.748291015625
mlp_top_group_zero,7,top32,,,0.024850845336914062,0.05736469477415085,0.1572963148355484,0.8984375,0.0,0.0,"[2, 319, 141, 250, 116, 447, 218, 321, 497, 94, 427, 306, 178, 456, 473, 240, 372, 181, 388, 273, 486, 222, 366, 386, 376, 195, 189, 414, 304, 227, 89, 356]",297.03619384765625
