feature,coef_norm
feat4_ptw,123.33468656935807
pt_weighted_deltaR,62.01087989862158
pt_weighted_dR1,62.01087989782794
log_jet_energy,28.520366774896367
feat1_ptw,27.410968060469592
feat3_ptw,26.167130376444245
feat2_ptw,22.445257832407822
feat1_mean,22.351716996037315
feat0_ptw,18.932066666336258
feat3_mean,17.2607352002511
mean_deltaR,13.087419237026149
feat4_mean,12.94487865206014
pt_weighted_dR2,12.078204515695552
lead_pt_frac,9.380312608515837
lead_e_frac,8.22120903291797
log_jet_mass,7.212143885782393
pt2_concentration,6.215506643030422
log_nparticles,5.795547396269179
pt_weighted_dR3,5.182740337519544
log_jet_pt,4.9099663434557375
feat0_mean,4.629973006069533
feat2_mean,4.494028965931633
top16_pt_frac,3.071761799000944
top8_pt_frac,2.8837321471903907
charge_abs_sum,2.628709602203044
top4_pt_frac,2.4639448399182102
pid_pt_frac_electron,2.354191677430624
feat9_ptw,2.354191677322795
feat10_ptw,2.3353391111124857
pid_pt_frac_muon,2.335339110945614
top32_pt_frac,2.3058906097830256
feat6_ptw,1.795965190261669
pid_pt_frac_charged_hadron,1.7959651900888913
top2_pt_frac,1.7026338600527193
feat8_ptw,1.303206722013964
pid_pt_frac_photon,1.3032067219188779
pid_pt_frac_neutral_hadron,1.2142939526271836
feat7_ptw,1.2142939526114997
feat11_ptw,0.8119137524223247
max_deltaR,0.745008215962229
feat12_mean,0.7377738474586834
charge_sum,0.7301465122245077
feat12_ptw,0.7275505974225267
feat10_mean,0.7233175317393951
pid_frac_muon,0.7233175317131981
charge_mean,0.5585473674659288
feat5_mean,0.5585473674501947
feat5_ptw,0.4533757573545796
feat9_mean,0.4350757806217564
pid_frac_electron,0.4350757805583521
feat6_mean,0.39967460290708245
pid_frac_charged_hadron,0.3996746027938205
feat11_mean,0.3622703779725573
feat8_mean,0.3496290554398702
pid_frac_photon,0.34962905525814114
feat7_mean,0.3110670323536234
pid_frac_neutral_hadron,0.3110670321547342
